date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
2/1/2020,"SHALVEY, KILCAR, DONEGAL",,Donegal,60000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"THE COTTAGE, BARRACK STREET, TALLOW",,Waterford,63750,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"1 CHAPEL VIEW, LUCAN, DUBLIN",,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"1 LAUREL COURT, LOUGHBOY, KILKENNY",,Kilkenny,193000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"1 Millquarter, Knockmullen, Gorey",,Wexford,309493,No,Yes,New Dwelling house /Apartment
3/1/2020,"126 BALLINTEER CLOSE, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,640000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"134 SLI GHEAL BALLYMONEEN RD, GALWAY",,Galway,275000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"144 WEST AVE, PARKGATE, FRANKFIELD",,Cork,91104.32,Yes,No,Second-Hand Dwelling house /Apartment
3/1/2020,"15 Maydenhayes Crescent, Mornington, Co Meath",,Meath,300881.06,No,Yes,New Dwelling house /Apartment
3/1/2020,"16 BRUACH NO SIONNA, O'BRIENS BRIDGE, CO CLARE",,Clare,102500,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"16 FATHER FLOOD PARK, DUNDERRY, NAVAN",,Meath,150000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"17 INNISHMAAN RD, GAELTACHT PARK, WHITEHALL DUBLIN 9",Dublin 9,Dublin,266000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"17 THE WILLOWS, CLOONBALT, LONGFORD",,Longford,140000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"19 Proby Place  Proby Square, Carysfort Avenue, Blackrock",,Dublin,881057.27,No,Yes,New Dwelling house /Apartment
3/1/2020,"19 WASHINGTON COURT, CORK, CORK",,Cork,225000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"2 ASHE ROAD, SHANTALLA, GALWAY",,Galway,270000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"20 SWIFTBROOK PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"21 MERRION VIEW AVE, MERRION RD, DUBLIN 4",Dublin 4,Dublin,1030000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"27 RAVENSDALE RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"28 LAKEVIEW, VIRGINIA, CAVAN",,Cavan,185000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"29 STATIONCOURT PARK, COOLMINE, DUBLIN 15",Dublin 15,Dublin,277000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"3 KILDERMOT LANE, BALLYMONEY, GOREY",,Wexford,350000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"31 The Grove, St. Marnocks Bay, Station Road",,Dublin,308370,No,Yes,New Dwelling house /Apartment
3/1/2020,"32 CASTLEWOOD PARK, KILLERISK, TRALEE",,Kerry,170000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"33 CASTLEWELL, SOUTH CIRCULAR ROAD, LIMERICK",,Limerick,290000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"38 CARRAIG ABHAINN, BALLISODARE, CO SLIGO",,Sligo,210000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"38 CHESTNUT AVE, ESKER HILLS, PORTLAOISE",,Laois,190000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"39 WOODVIEW, ASHFORD, WICKLOW",,Wicklow,190000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"4 BALLYBRIT COURT, MONIVEA RD, GALWAY",,Galway,250000,No,No,Second-Hand Dwelling house /Apartment
